service_id,date,exception_type
TRAIN-H25-TRKPI-Semaine-05,20250109,2
TRAIN-H25-TRKPI-Semaine-05,20250110,2
TRAIN-H25-TRKPI-Semaine-05,20250113,2
TRAIN-H25-TRKPI-Semaine-05,20250114,2
TRAIN-H25-TRKPI-Semaine-05,20250115,2
TRAIN-H25-TRKPI-Semaine-05,20250116,2
TRAIN-H25-TRKPI-Semaine-05,20250117,2
TRAIN-H25-TRKPI-Semaine-05,20250120,2
TRAIN-H25-TRKPI-Semaine-05,20250121,2
TRAIN-H25-TRKPI-Semaine-05,20250122,2
TRAIN-H25-TRKPI-Semaine-05,20250123,2
TRAIN-H25-TRKPI-Semaine-05,20250124,2
TRAIN-H25-TRKPI-Semaine-05,20250127,2
TRAIN-H25-TRKPI-Semaine-05,20250128,2
TRAIN-H25-TRKPI-Semaine-05,20250129,2
TRAIN-H25-TRKPI-Semaine-05,20250130,2
TRAIN-H25-TRKPI-Semaine-05,20250131,2
TRAIN-H25-TRKPI-Semaine-05,20250203,2
TRAIN-H25-TRKPI-Semaine-05,20250204,2
TRAIN-H25-TRKPI-Semaine-05,20250205,2
TRAIN-H25-TRKPI-Semaine-05,20250206,2
TRAIN-H25-TRKPI-Semaine-05,20250207,2
TRAIN-H25-TRKPI-Semaine-05,20250210,2
TRAIN-H25-TRKPI-Semaine-05,20250211,2
TRAIN-H25-TRKPI-Semaine-05,20250212,2
TRAIN-H25-TRKPI-Semaine-05,20250213,2
TRAIN-H25-TRKPI-Semaine-05,20250214,2
TRAIN-H25-TRKPI-Semaine-05,20250217,2
TRAIN-H25-TRKPI-Semaine-05,20250218,2
TRAIN-H25-TRKPI-Semaine-05,20250219,2
TRAIN-H25-TRKPI-Semaine-05,20250220,2
TRAIN-H25-TRKPI-Semaine-05,20250221,2
TRAIN-H25-TRKPI-Semaine-05,20250224,2
TRAIN-H25-TRKPI-Semaine-05,20250225,2
TRAIN-H25-TRKPI-Semaine-05,20250226,2
TRAIN-H25-TRKPI-Semaine-05,20250227,2
TRAIN-H25-TRKPI-Semaine-05,20250228,2
TRAIN-H25-TRKPI-Semaine-05,20250303,2
TRAIN-H25-TRKPI-Semaine-05,20250304,2
TRAIN-H25-TRKPI-Semaine-05,20250305,2
TRAIN-H25-TRKPI-Semaine-05,20250306,2
