shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
10385,45.473765,-73.603092,10001,0.000
10385,45.473553,-73.603476,10002,0.038
10385,45.472839,-73.604805,10003,0.169
10385,45.472284,-73.605869,10004,0.273
10385,45.470282,-73.609737,10005,0.648
10385,45.468999,-73.612200,10006,0.888
10385,45.467940,-73.614231,10007,1.086
10385,45.466317,-73.617375,10008,1.391
10385,45.465334,-73.619279,10009,1.576
10385,45.465083,-73.619762,10010,1.623
10385,45.464273,-73.621310,10011,1.774
10385,45.463165,-73.623427,10012,1.980
10385,45.462221,-73.625247,10013,2.157
10385,45.460601,-73.628366,10014,2.460
10385,45.459891,-73.629727,10015,2.593
10385,45.457834,-73.633681,10016,2.977
10385,45.457047,-73.635202,10017,3.125
10385,45.456598,-73.636068,10018,3.209
10385,45.455697,-73.637805,10019,3.378
10385,45.455643,-73.637919,10020,3.389
10385,45.455347,-73.638568,10021,3.449
10385,45.455192,-73.638871,10022,3.479
10385,45.455061,-73.639189,10023,3.507
10385,45.454916,-73.639508,10024,3.537
10385,45.454667,-73.640048,10025,3.588
10385,45.454610,-73.640155,10026,3.598
10385,45.454534,-73.640298,10027,3.612
10385,45.453743,-73.641821,10028,3.760
10385,45.453668,-73.641727,20001,3.760
10385,45.453137,-73.642743,20002,3.859
10385,45.452659,-73.643661,20003,3.949
10385,45.452183,-73.644582,20004,4.038
10385,45.451947,-73.645056,20005,4.083
10385,45.451903,-73.645152,20006,4.093
10385,45.451774,-73.645452,20007,4.120
10385,45.451601,-73.645898,20008,4.160
10385,45.451446,-73.646357,20009,4.200
10385,45.451414,-73.646455,20010,4.208
10385,45.451307,-73.646840,20011,4.240
10385,45.451259,-73.647021,20012,4.256
10385,45.451188,-73.647326,20013,4.281
10385,45.451112,-73.647665,20014,4.309
10385,45.451029,-73.648128,20015,4.346
10385,45.450974,-73.648528,20016,4.378
10385,45.450926,-73.648987,20017,4.414
10385,45.450899,-73.649425,20018,4.449
10385,45.450892,-73.649592,20019,4.462
10385,45.450880,-73.649984,20020,4.492
10385,45.450890,-73.650472,20021,4.530
10385,45.450919,-73.650983,20022,4.571
10385,45.450967,-73.651443,20023,4.607
10385,45.451021,-73.651897,20024,4.643
10385,45.451049,-73.652146,20025,4.663
10385,45.451078,-73.652354,20026,4.679
10385,45.451242,-73.653536,20027,4.774
10385,45.451568,-73.655877,20028,4.960
10385,45.451654,-73.656574,20029,5.016
10385,45.451851,-73.658086,20030,5.136
10385,45.452222,-73.660913,20031,5.361
10385,45.452905,-73.666112,20032,5.775
10385,45.452983,-73.666710,20033,5.823
10385,45.453053,-73.667289,20034,5.869
10385,45.453110,-73.668001,20035,5.925
10385,45.453127,-73.668405,20036,5.956
10385,45.453133,-73.668655,20037,5.976
10385,45.453138,-73.668887,20038,5.994
10385,45.453132,-73.669184,20039,6.017
10385,45.453127,-73.669382,20040,6.033
10385,45.453116,-73.669613,20041,6.051
10385,45.453107,-73.669784,20042,6.064
10385,45.453079,-73.670182,20043,6.096
10385,45.453039,-73.670593,20044,6.128
10385,45.452996,-73.670930,20045,6.155
10385,45.452865,-73.671797,20046,6.224
10385,45.452721,-73.672684,20047,6.295
10385,45.452585,-73.673525,20048,6.363
10385,45.452255,-73.675575,20049,6.528
10385,45.451966,-73.677343,20050,6.670
10385,45.451743,-73.678708,20051,6.779
10385,45.451527,-73.680060,20052,6.888
10385,45.450925,-73.683759,20053,7.185
10385,45.450579,-73.685920,20054,7.358
10385,45.450477,-73.686545,20055,7.409
10385,45.450329,-73.687472,20056,7.483
10385,45.450238,-73.688030,20057,7.528
10385,45.450082,-73.689009,20058,7.606
10385,45.449874,-73.690310,20059,7.711
10385,45.449817,-73.690699,20060,7.742
10385,45.449763,-73.691109,20061,7.774
10385,45.449729,-73.691406,20062,7.798
10385,45.449696,-73.691719,20063,7.823
10385,45.449653,-73.692212,20064,7.862
10385,45.449632,-73.692483,20065,7.883
10385,45.449494,-73.694377,20066,8.032
