stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_code,wheelchair_boarding
MTL5D,Gare Centrale,,  45.500002, -73.566668,1,11010,1
MTL5B,Gare Centrale,,  45.500002, -73.566668,1,11010,1
MTL2A,Gare Vendôme,,  45.473771, -73.603101,1,11160,0
MTL2C,Gare Vendôme,,  45.473771, -73.603101,1,11160,0
MTL1A,Gare Montréal-Ouest,,  45.453681, -73.641740,1,11170,0
MTL1C,Gare Montréal-Ouest,,  45.453681, -73.641740,1,11170,0
LCH1D,Gare Lachine,,  45.448687, -73.711325,1,11180,0
LCH1B,Gare Lachine,,  45.448687, -73.711325,1,11180,0
DVL2D,Gare Dorval,,  45.449209, -73.743110,2,11190,0
DVL2B,Gare Dorval,,  45.449209, -73.743110,2,11190,0
DVL1D,Gare Pine Beach,,  45.449603, -73.764257,2,11200,0
DVL1B,Gare Pine Beach,,  45.449603, -73.764257,2,11200,0
PCL3D,Gare Valois,,  45.449754, -73.790874,2,11210,0
PCL3B,Gare Valois,,  45.449754, -73.790874,2,11210,0
PCL2D,Gare Pointe-Claire,,  45.447256, -73.803441,2,11220,0
PCL2B,Gare Pointe-Claire,,  45.447256, -73.803441,2,11220,0
PCL1D,Gare Cedar Park,,  45.442424, -73.819880,2,11230,0
PCL1B,Gare Cedar Park,,  45.442424, -73.819880,2,11230,0
BEA2D,Gare Beaconsfield,,  45.434983, -73.847393,2,11240,0
BEA2B,Gare Beaconsfield,,  45.434983, -73.847393,2,11240,0
BEA1D,Gare Beaurepaire,,  45.427404, -73.887258,2,11250,0
BEA1B,Gare Beaurepaire,,  45.427404, -73.887258,2,11250,0
BUR1D,Gare Baie-d'Urfé,,  45.419916, -73.915559,2,11260,0
BUR1B,Gare Baie-d'Urfé,,  45.419916, -73.915559,2,11260,0
SAB1D,Gare Sainte-Anne-de-Bellevue,,  45.407615, -73.951215,2,11270,0
SAB1B,Gare Sainte-Anne-de-Bellevue,,  45.407615, -73.951215,2,11270,0
LIP1D,Gare Île-Perrot,,  45.395932, -73.965426,4,11280,0
LIP1B,Gare Île-Perrot,,  45.395932, -73.965426,4,11280,0
TVA1D,Gare Pincourt,,  45.387182, -73.992274,4,11290,0
TVA1B,Gare Pincourt,,  45.387182, -73.992274,4,11290,0
VAU1D,Gare Dorion,,  45.386400, -74.008255,5,11300,0
VAU1B,Gare Dorion,,  45.386400, -74.008255,5,11300,0
VAU8D,Gare Vaudreuil,,  45.399009, -74.050558,5,11310,0
VAU8B,Gare Vaudreuil,,  45.399009, -74.050558,5,11310,0
HUD1D,Gare Hudson,,  45.459638, -74.140937,6,11320,0
HUD1B,Gare Hudson,,  45.459638, -74.140937,6,11320,0
MTL8D,Gare Parc,,  45.531493, -73.623780,1,11350,0
MTL8B,Gare Parc,,  45.531493, -73.623780,1,11350,0
MTL37C,Gare Chabanel,,  45.537058, -73.658031,1,11355,0
MTL37A,Gare Chabanel,,  45.537058, -73.658031,1,11355,0
MTL7D,Gare Bois-de-Boulogne,,  45.540251, -73.676902,2,11360,0
MTL7B,Gare Bois-de-Boulogne,,  45.540251, -73.676902,2,11360,0
LVL24C,Gare De la Concorde,,  45.560288, -73.710104,3,11365,0
LVL24A,Gare De la Concorde,,  45.560288, -73.710104,3,11365,0
LVL22C,Gare Vimont,,  45.603767, -73.742660,3,11375,0
LVL22A,Gare Vimont,,  45.603767, -73.742660,3,11375,0
LVL4C,Gare Sainte-Rose,,  45.625439, -73.764748,3,11380,0
LVL4A,Gare Sainte-Rose,,  45.625439, -73.764748,3,11380,0
ROS2C,Gare Rosemère,,  45.634505, -73.795740,5,11390,0
ROS2A,Gare Rosemère,,  45.634505, -73.795740,5,11390,0
STR4D,Gare Sainte-Thérèse,,  45.636039, -73.833550,5,11400,0
STR4B,Gare Sainte-Thérèse,,  45.636039, -73.833550,5,11400,0
BLA1C,Gare Blainville,,  45.672427, -73.866162,5,11410,0
BLA1A,Gare Blainville,,  45.672427, -73.866162,5,11410,0
MIR1C,Gare Mirabel,,  45.711707, -73.918555,6,11420,0
MIR1A,Gare Mirabel,,  45.711707, -73.918555,6,11420,0
SJM1C,Gare Saint-Jérôme,,  45.773188, -73.999119,5,11430,0
SJM1A,Gare Saint-Jérôme,,  45.773188, -73.999119,5,11430,0
STL1B,Gare Saint-Lambert,,  45.499634, -73.505824,3,11440,0
STL1D,Gare Saint-Lambert,,  45.499634, -73.505824,3,11440,0
STH3B,Gare Longueuil-Saint-Hubert,,  45.508145, -73.433824,3,11450,0
STH3D,Gare Longueuil-Saint-Hubert,,  45.508145, -73.433824,3,11450,0
STB2B,Gare Saint-Bruno,,  45.512028, -73.374408,5,11460,0
STB2D,Gare Saint-Bruno,,  45.512028, -73.374408,5,11460,0
SBA2B,Gare Saint-Basile-le-Grand,,  45.523306, -73.305923,5,11470,0
SBA2D,Gare Saint-Basile-le-Grand,,  45.523306, -73.305923,5,11470,0
MMS1B,Gare McMasterville,,  45.546052, -73.229775,5,11480,0
MMS1D,Gare McMasterville,,  45.546052, -73.229775,5,11480,0
MSH1C,Gare Mont-Saint-Hilaire,,  45.577198, -73.178501,6,11490,0
MSH1A,Gare Mont-Saint-Hilaire,,  45.577198, -73.178501,6,11490,0
LCH4A,Gare Du Canal,,  45.437645, -73.655887,1,11495,0
LCH4C,Gare Du Canal,,  45.437645, -73.655887,1,11495,0
LSL1A,Gare LaSalle,,  45.425218, -73.656978,1,11500,0
LSL1C,Gare LaSalle,,  45.425218, -73.656978,1,11500,0
SCS2A,Gare Sainte-Catherine,,  45.382043, -73.600099,5,11510,0
SCS2C,Gare Sainte-Catherine,,  45.382043, -73.600099,5,11510,0
SCS1A,Gare Saint-Constant,,  45.373948, -73.570299,5,11520,0
SCS1C,Gare Saint-Constant,,  45.373948, -73.570299,5,11520,0
DEL1A,Gare Delson,,  45.366844, -73.540801,5,11530,0
DEL1C,Gare Delson,,  45.366844, -73.540801,5,11530,0
CAN1A,Gare Candiac,,  45.360923, -73.514848,5,11540,0
CAN1C,Gare Candiac,,  45.360923, -73.514848,5,11540,0
MTL59C,Gare Ahuntsic,,  45.535026, -73.662662,1,11550,1
MTL59A,Gare Ahuntsic,,  45.535026, -73.662662,1,11550,1
MTL58C,Gare Sauvé,,  45.549408, -73.654339,1,11560,1
MTL58A,Gare Sauvé,,  45.549408, -73.654339,1,11560,1
MTL57C,Gare Saint-Michel-Montréal-Nord,,  45.582993, -73.630262,2,11570,1
MTL57A,Gare Saint-Michel-Montréal-Nord,,  45.582993, -73.630262,2,11570,1
MTL56C,Gare Saint-Léonard-Montréal-Nord,,  45.600339, -73.615779,2,11580,1
MTL56A,Gare Saint-Léonard-Montréal-Nord,,  45.600339, -73.615779,2,11580,1
MTL55C,Gare Anjou,,  45.617867, -73.596659,2,11590,1
MTL55A,Gare Anjou,,  45.617867, -73.596659,2,11590,1
MTL54C,Gare Rivière-des-Prairies,,  45.660661, -73.539166,2,11600,1
MTL54A,Gare Rivière-des-Prairies,,  45.660661, -73.539166,2,11600,1
MTL53C,Gare Pointe-aux-Trembles,,  45.674876, -73.505342,2,11610,1
